GLOBAL,CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR
,,,Average Years of Education,,Description Average Years of Education,,0=[0xBD0026][14] 1=[0xF03B20][9.53188] 2=[0xFD8D3C][7.810027] 3=[0xFEB24C][6.398654] 4=[0xFED976][5.00386725460169],,,,,3.81330819180819,,6.9288415643869,,2.79392913798872,,,8.51846645950813,10.8179604692491,,13.0315270732813,11.2571741222232,10.8026492715268,,,4.97781082353247,9675,10.204856396937,10694,,2.66497587500123,,,,,9889,7.83368432849066,,,10.8553008838173,1.42826749793127,2.33097498394145,5.89406606606607,4.74482431823242,12.8845018090579,,,,6.24852028596865,10.0955341211885,7.74973890241345,7.60404198125033,,5.84539489489489,,7.38896157083724,,,8.99169661957078,9.32470488639459,11.2469324739078,,,11.5839757294722,,,6.26170421619045,8.57920661110321,7.75483037858689,5.32810534693349,,,11.4556361826391,,8.24779231415244,11.502007792779,10.5169132281868,5.70374915385309,3.5975,10.9018944671954,12.6765289738623,5.49479079857283,,9.84127191269214,,5.15213879570036,3.3471287845687,,8.94113835604288,4.23003366280221,,5.65225201844029,,10.6296997540774,,5.21574596677769,,,5.9768493892155,10.1490911545843,10716,10.0790072278018,8.76246493627261,12.5836504149395,9.17665265265265,11.747989965921,6.3271543658286,,,10.2423232523784,,11.0153570035681,8.72522013699813,6589,5576,,,11.5837110672635,,,3.96410230154664,5.04375024975025,9.86215560755292,,1.54275458425564,,,4486,7.82832208561519,8.20506311412894,,,,,,4.28125174201149,2.35001982354014,,6.12629179179179,,4.36587428273126,11.1708349954438,,12.1704554563469,6.91769983846132,1.66328817311558,4.24969046612193,,12.3663139270307,,5.26753203203203,,,8.82509316766374,,6.88292204473442,8.68590499641004,8.40103870868013,9.69647557501482,7.33246433542243,,,,10.3566319155988,12.8707814004204,3478,,,,,,,8.47502802802803,3.63349993221824,,10.4053355867001,3.82881579431471,10.530384523874,11.1763320738062,,,1.63643875272527,8.52339388031285,9.44022922218785,7421,,,7.82,11.488815190367,12.4135817445977,6.91391118673938,9.35235245220241,8.08923132887446,,,4.90730619380619,,,9.55103094175756,4.82714213845159,6.55283435101223,,,,4.60714512102378,11.5115194960949,,13.1143799427401,,12.7730574630578,8.51697806778885,10.2941063980755,,,,,6.35378789106954,8.51741261164432,,,,,,,11.9755833175012,,,,
,,,Educational Inequality Gini Coefficient,,Description Educational Inequality Gini Coefficient,,0=[0xBD0026][100] 1=[0xF03B20][91] 2=[0xFD8D3C][81] 3=[0xFEB24C][69] 4=[0xFED976][57],,,,,64.3776186128911,,37.4791418167939,,37.6265320338189,,,15.70475637364,15.7937902655228,,6.33491150754741,4.19538938048343,14.1999098373969,,,45.986906740535,5.42387897577421,18.9189237264295,16.615461074211,,66.9063489525172,,,,,12.9836294125598,27.2730974920328,,,18.5259270518797,82.6532600032407,63.2203592433518,12.5747261623039,41.0912452809872,9.80417139908536,,,,47.1691489115538,12.3464114325314,14.4604025765662,23.6147564528445,,34.9458704997675,,32.4533445598137,,,23.5624736441058,21.6406237965631,,,,6.48997640343647,,,35.2250647840974,23.4951857816815,37.5231442519499,27.6991689975793,,,16.5033098137466,,15.5745645106118,15.4620369458968,20.079836700071,25.9198117973887,66.7223965894768,17.1300767658739,12.0313179423773,39.5262273777688,,22.9867200150654,,29.251593543671,60.5384634641079,,14.3692628089238,35.0406968970494,,24.8902504864506,,8.54342280918963,14.5676320111612,37.4689322220431,,,40.9839468968489,16.6577046084714,21.5896749254566,16.3392159664639,20.9806350366278,8.66741147426484,28.2721158153361,16.4150595318972,14.9791529293183,,,17.5098884173069,,14.3365712408462,36.9196723814706,22.87184761,53.2187174156276,,,20.3094074690687,,,31.9787388615094,24.2515882210985,20.5338003130518,,81.3667003065343,,,40.8896313648132,25.8142943477864,25.793757982805,,,,,,55.9585707579939,45.6574771663391,,34.0869240133888,,49.0791903138303,14.755070390202,,21.7233294907937,28.2948119428511,76.7235839048164,46.0610820294666,,6.98917643428422,,49.3465005532009,,,27.7924153315982,,21.7279683080355,21.9329117639714,19.5627832309271,26.4359912749573,24.5636628990487,,,,20.3495039369138,15.2138812355437,54.4627673646079,,,,,,,26.0492336799749,54.2747598412963,,21.3188663662544,61.3195294344007,29.9467415768512,,,,78.9173643240422,16.365831806707,22.8125600128092,20.5798306383851,,,21.1,10.8891596840598,9.34617256186612,34.0639683646636,9.43074855111816,28.1440259567487,,,44.6835760699744,,,16.1941736857563,44.1848402419967,33.6701517977692,,,,29.6683051230464,19.6825291499019,,6.07172209988053,,13.4903970110959,18.927064397392,16.2884304043248,,,,,23.5827638275385,22.9480516164063,,,,,,,31.1638857692767,,,,
,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Average Years of Education,,Description Average Years of Education,,0=[0xBD0026][14] 1=[0xF03B20][9.53188] 2=[0xFD8D3C][7.810027] 3=[0xFEB24C][6.398654] 4=[0xFED976][5.00386725460169],,,,,3.6514013646372,,6.92041436246855,,2.74978616742706,,,8.51706965807479,10.7452306679619,,12.9973411529549,11.237746299419,10.7345947564228,,,4.93606761674418,9.63125195239714,10.154978561143,10.657477923597,,2.63466913668344,,,,,9.85974771022934,7.81107114217717,,,10.7736348006583,1.36724985980169,2.29919389860246,5.90023856334639,4.72214016614129,12.8195244392499,,,,6.01500201389814,10.0429975124706,7.74973890241345,7.55971275189777,,5.8848535922218,,7.30068844609872,,,8.95639230518076,9.24583927384321,11.2598591511028,,,11.7079050651143,,,6.26663319297532,8.53091471731273,7.7051733791441,5.30627687855749,,,11.4022364672199,,8.28355220252267,11.4687478399856,10.465923778722,5.68460650890318,3.58262531843922,10.8363860332941,12.6443308483793,5.47434079097863,,9.79198004158977,,5.10717502300794,3.19078081685054,,8.87246098030549,4.19293879563318,,5.62058258861413,,10.585323222395,,5.17207507067166,,,5.97937399038264,10.1204174344432,10.7171833300763,10.0180590966348,8.76440212698939,12.5431932354884,9.11702800508047,11.6327042676047,6.3013420743468,,,10.1927187208986,,10.9096186229735,8.43670726531373,6521,5.34299934607719,,,11.4177587709566,,,3.92054819842756,4.98577578655994,9.8192000719199,,1.49288726660656,,,4.4040472889106,7.80663434393176,8.18034145190533,,,,,,4.25141023606858,2.30118527049944,,6.18283666734038,,4.28005949805977,11.1519130845443,,12.1540622699736,6.88040946991191,1.60252518781027,4.26660839808287,,12.31958113023,,5.15478871078237,,,8.78493711706643,,6.88300638892683,8.65247908862604,8.35827815028682,9.50865060043147,7.30356766289942,,,,10.3019897383535,14.3742980514396,3.43013986969074,,,,,,,8.36164281817592,3.55672485130596,,10.4053355867001,3.84682248149226,10.3754513050941,11.1984264786184,,,1.63643875272527,8.43037755571141,9.39565453746497,7.41989656706578,,,7.8,11.4677639671732,12.4100434639976,6.96625064112991,9.33677813740562,8.02005993974281,,,4.86798348035753,,,9.57307071084461,4.83494087559206,6.52994683029717,,,,4.34226300392966,11.4106638284802,,13.0734356180231,,12.7086344248129,8.49014647669423,10.2493823559168,,,,,6.30959030313057,8.52953080981343,,,,,,,11.9755833175012,,,,
,,,Educational Inequality Gini Coefficient,,Description Educational Inequality Gini Coefficient,,0=[0xBD0026][100] 1=[0xF03B20][91] 2=[0xFD8D3C][81] 3=[0xFEB24C][69] 4=[0xFED976][57],,,,,65.9169132491947,,37.6462456299843,,39.8267810333376,,,15.9011629841793,15.6962588926214,,6.39826691792765,4.1767963168813,14.1344237578325,,,46.5611419759494,5.61916761907529,18.9910198120097,16.5229268222825,,67.711972751488,,,,,13.2156702078616,27.004884638863,,,18.6243617567656,83.6149777997987,63.8738685629391,12.574332099853,41.2515750351681,10.0712042762829,,,,48.0845640274767,12.2027561128491,14.4604025765662,23.5018390186408,,34.8798899119419,,32.3936571463159,,,23.8117029127229,21.7423555563625,,,,6.55588063906739,,,34.9517520460059,23.7086720376385,38.0258131983111,28.059776043453,,,16.7261646123358,,15.594352517781,15.5054189993668,20.1867720527588,26.2662896398378,66.8608186113816,17.3858782313851,12.1318319398946,40.0906636111908,,23.0310641605776,,29.825641964347,62.0179385524787,,14.5606691389374,36.3252248353366,,24.753459418506,,8.76292550295398,14.5676320111612,38.1471912361877,,,41.0527527061531,16.5746802354362,21.6475484586485,16.770768303031,20.9537251014979,8.82464544634142,28.2882879427564,16.1292608096723,15.545336888733,,,17.0972893815881,,14.1637427421081,38.1756892961952,22.89867727,54.2139732254242,,,20.5896382545874,,,32.9944274467809,25.2890523674348,20.790804096515,,81.9921654627473,,,42.2473144552469,25.9080670240405,25.8265532959295,,,,,,56.2868113646284,46.5604156710083,,33.7378560125482,,50.4981441089665,14.6890449037879,,21.3604173422867,28.7843890720969,77.5125153327353,46.1024142328057,,7.1736845830447,,50.7398147250332,,,27.7298198683888,,21.6724678852548,21.8222365903631,19.3287209353545,26.0665581256516,24.767869861594,,,,20.5161484510821,22.8983262390169,54.9197984929328,,,,,,,26.9629096226936,55.4975694420092,,21.3188663662544,61.4494951756939,30.2903606647918,,,,78.9173643240422,16.4510320293572,22.9090454660826,20.5407134722055,,,21.1,11.039547404663,9.18922475529133,33.8453054566695,9.53792157238919,28.0419134596827,,,44.7423236155051,,,15.7278904680319,44.2288164182153,33.9351322740807,,,,29.3402948147812,19.8991518041106,,6.20489531200565,,13.3435265320685,18.6572645574969,15.8950066509984,,,,,24.7455828349701,23.1053113686619,,,,,,,31.1638857692767,,,,
,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Average Years of Education,,Description Average Years of Education,,0=[0xBD0026][14] 1=[0xF03B20][9.53188] 2=[0xFD8D3C][7.810027] 3=[0xFEB24C][6.398654] 4=[0xFED976][5.00386725460169],,,,,3.54287993274795,,6.74228972503855,,2.6474642532209,,,8.34932090889711,10.8300135177014,,12.860446486455,11.1957777201451,10.8470662140671,,,4.9470717821444,9.68226245419922,10.1525330548205,10.5766067746314,,2.42699129003369,,,,,9.81798751368674,7.73540591848822,,,10.7993613787537,1.24012374301274,2.14247216616154,5.81316648936763,4.56473677289885,12.7875134229941,,,,6.08761536815894,9.8972681189429,7.56420731190242,7.32079780988999,,5.8635002203305,,7.12261745110234,,,8.87971083837522,9.23479462957605,11.2201086586824,,,11.8264096891814,,,6.11652815289703,8.37672766911264,7.52981099987739,5.23097938977877,,,11.4098859869649,,8.04369950981739,11.33440134821,10.3961979149059,5.55086602805004,3.4153785453503,10.9000015020193,12.7350361478703,5.34189350659941,,9.74015558315105,,4.988864734633,3.05794047036732,,8.76056021704779,4.23669418579116,,5.52892066646005,,10.5394890001768,,5.10369804708371,,,5.8762688397966,10.0311236124444,10.670710269479,9.95083436528099,8.68838378911933,12.4737423406526,9.10102755903624,11.7023288515834,6.19112726518547,,,10.2348431342711,,10.9006373976687,8.38631210894416,6296,5.2870220784994,,,11.4149211134667,,,3.84704011865804,4.85211803632935,9.71764780796578,,1.32560868733079,,,4.31707017721556,7.75918773957401,8.08582098201148,,,,,,4.12348808174226,2.1611782141464,,5.99304250302643,,4.15248520064305,11.0886792421922,,11.9068191011708,6.75223515377837,1.54386692238275,4.18913225290859,,12.2451209102981,,5.13555386101823,,,8.69220717803692,,6.66000821875601,8.47161307098276,8.36075651603327,9.43195851889095,7.1704105503539,,,,10.314765680288,13.5922377906262,3.20907614558335,,,,,,,8.2907654525159,3.48279515632371,,10.3317069151031,3.73250424267616,10.3566597995765,11.1801822304886,,,1.61628519148566,8.34456927839987,9.26368091344177,7.32403876449248,,,7.74,11.4296819632116,12.3608827988549,6.82076266556327,9.38766943156296,7.92514939347587,,,4.74180507364434,,,9.48067513421734,4.59748049878669,6.41834134392399,,,,4.05231547562095,11.4185269825758,,13.0237020635418,,12.6338109647761,8.30653887286082,10.3407279449779,,,,,6.15049475926629,8.41467005117754,,,,,,,11.911572738767,,,,
,,,Educational Inequality Gini Coefficient,,Description Educational Inequality Gini Coefficient,,0=[0xBD0026][100] 1=[0xF03B20][91] 2=[0xFD8D3C][81] 3=[0xFEB24C][69] 4=[0xFED976][57],,,,,67.4239921743754,,38.4339277975159,,41.6859978181229,,,14.9200209734594,15.2760649819902,,6.58543283050641,4.03565757856502,13.6975280981371,,,46.6698215384571,3.77114990522484,18.6096355317798,16.5420783502425,,69.75405559252,,,,,13.7252608131406,27.3720471442093,,,18.306452981189,85.0851167418359,65.6025438196262,12.0206645283412,42.026926190214,10.1973166661739,,,,48.4898194920965,11.7691409787555,16.5322260846343,23.87858846033,,35.4525860335327,,33.0192761677963,,,23.8858306069937,21.5516350102786,,,,6.61654352610643,,,34.9464297901452,23.5138456518915,38.8513468047351,28.7017892716219,,,16.5145775069476,,15.8312507484558,15.9023942865835,20.246780430683,27.3022350102878,68.5506134304358,16.7408067339441,11.1765540857415,41.2197328796273,,22.9560489063502,,30.5497697917577,63.2981531038994,,14.5748486556006,35.182118122126,,24.6011909292647,,8.34720697966335,14.5676320111612,38.2355344045515,,,41.9167291849369,17.0339503767888,21.5976753499134,16.7467373795655,20.5598091608903,8.61574428664365,27.9948004030912,15.8990772896143,15.9420124506422,,,16.6253196723413,,13.8824801174879,38.7961794603719,24.82848046,55.3671759578413,,,21.0676313766172,,,34.0908047442884,26.9484118246304,20.9013453569406,,83.7602577487578,,,43.1698729348489,25.7480114283755,26.2051401599657,,,,,,57.2727565251369,48.8062911247589,,35.4369236245662,,51.7291778652508,14.8083419336861,,21.9783046787092,29.6203170115746,78.7855285066533,46.5998158195698,,7.22141055221138,,51.0872086969806,,,27.7664702002817,,20.6425702339577,22.1013477495768,19.0391905745927,26.0525630340786,24.6270203534686,,,,20.3850000592056,22.4500908623056,57.6415507142701,,,,,,,27.0658132071315,56.042390289933,,21.3188663662544,62.8211151706061,30.2864991577733,,,,79.0786018105514,17.285327261356,22.9822773355991,20.7499827023578,,,21.9,10.8979748139416,9.16903088426652,33.4873549981874,8.91882198970263,27.7753556919872,,,45.945024206963,,,16.2751900832464,44.320142970334,33.0998553079317,,,,31.742680993244,19.8954225654919,,6.11068795983478,,13.1520612366476,18.0101885258414,16.3040180907585,,,,,26.6430992831418,24.4059586346161,,,,,,,31.1638857692767,,,,
,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Average Years of Education,,Description Average Years of Education,,0=[0xBD0026][14] 1=[0xF03B20][9.53188] 2=[0xFD8D3C][7.810027] 3=[0xFEB24C][6.398654] 4=[0xFED976][5.00386725460169],,,,,3.35195644401506,,6.69801999328569,,2.59753296168893,,,8.32943374919194,10.7789024003315,,12.8356549958523,11.1796936976898,10.7969500071621,,,4.87846619441409,9.61920697209583,10.1098560538615,10.5398226333215,,2.38780457574019,,,,,9.76200777960222,7.70126393881305,,,10.7118726619235,1.18475665502456,2.09420487649437,5.77063398796521,4.51886067994,12.7280727504447,,,,5.85018861664231,9.83209958578671,7.51412887508644,7.26234357909912,,5.85750267523525,,7.03386991921294,,,8.83027431249782,9.13909621160417,11.1625831328449,,,11.79372909419,,,6.08433657140786,8.31208521563665,7.43218684201511,5.1793958230276,,,11.3726797614063,,8.0566324862349,11.3022901072723,10.3398477286227,5.50127137273423,3.34526484379139,10.8485150622977,12.7033414096722,5.28525864203138,,9.68241432498992,,4.93157497441628,2.90071075137657,,8.68621224962931,4.16828986991437,,5.49371727689354,,10.494353963178,11.388435988017,5.02724452050967,,,5.84848154285576,10.0005437564862,10.6628375112993,9.884066440804,8.66474670148128,12.4358232403051,8.99134515661242,11.6013972496225,6.12999128730828,,,10.1943425736923,,10.8061574841451,8.43336942762861,6199,5.00847315188913,,,11.2526527843336,,,3.78759791919219,4.78870218243099,9.65157005833598,,1.27309172355895,,,4.20010195957474,7.71117514720825,8.05190983167801,,,,,,4.06293312375323,2.12654775623832,,6.01871165619924,,4.03600802554984,11.070185427658,,11.892340406998,6.68496607509348,1.46465255902959,4.16947587493485,,12.2030396339861,,4.97523506632075,,,8.63685113341247,,6.63718368577841,8.41918767593341,8.30185907996569,9.3566888991089,7.13106402915015,,,,10.2492808563724,12.8228496958671,3.14956224957865,,,,,,,8.14843952494628,3.40030082919172,,10.3019080929342,3.71143628540424,10.201884246707,11.1415535543445,,,1.57271243888661,8.2238502920415,9.21494694039348,7.29811331953598,,,7.68,11.4080974017822,12.3600700650055,6.83526912309595,9.37616584273049,7.84369106663523,,,4.68058228921012,,,9.49492665817862,4.57017674507566,6.37064842579767,,,,3.92764619607541,11.3232817352371,,12.9873910724735,,12.5761807011704,8.26789734514083,10.3062857334636,,,,,6.07680253349035,8.38679878165929,,,,,,,11.959614797992,,,,
